window_end_date,expert_id,feature,importance
2020-06-29,0,Close,0.054496907
2020-06-29,0,Volume,0.049137034
2020-06-29,0,bitcoin,0.040080864
2020-06-29,1,Close,0.054047834
2020-06-29,1,Volume,0.05132467
2020-06-29,1,bitcoin,0.049464714
2020-06-29,2,Close,0.05230978
2020-06-29,2,Volume,0.050756436
2020-06-29,2,bitcoin,0.05413534
2020-06-29,3,Close,0.04989818
2020-06-29,3,Volume,0.054521848
2020-06-29,3,bitcoin,0.05096988
2020-08-29,0,Close,0.054496907
2020-08-29,0,Volume,0.049137034
2020-08-29,0,bitcoin,0.03766757
2020-08-29,1,Close,0.054047834
2020-08-29,1,Volume,0.05132467
2020-08-29,1,bitcoin,0.049464714
2020-08-29,2,Close,0.05230978
2020-08-29,2,Volume,0.050756436
2020-08-29,2,bitcoin,0.05413534
2020-08-29,3,Close,0.04989818
2020-08-29,3,Volume,0.054521848
2020-08-29,3,bitcoin,0.05096988
2020-10-29,0,Close,0.054496907
2020-10-29,0,Volume,0.049137034
2020-10-29,0,bitcoin,0.028266758
2020-10-29,1,Close,0.054047834
2020-10-29,1,Volume,0.05132467
2020-10-29,1,bitcoin,0.049464714
2020-10-29,2,Close,0.05230978
2020-10-29,2,Volume,0.050756436
2020-10-29,2,bitcoin,0.05413534
2020-10-29,3,Close,0.04989818
2020-10-29,3,Volume,0.054521848
2020-10-29,3,bitcoin,0.05096988
2020-12-29,0,Close,0.054496907
2020-12-29,0,Volume,0.049137034
2020-12-29,0,bitcoin,0.03892384
2020-12-29,1,Close,0.054047834
2020-12-29,1,Volume,0.05132467
2020-12-29,1,bitcoin,0.049464714
2020-12-29,2,Close,0.05230978
2020-12-29,2,Volume,0.050756436
2020-12-29,2,bitcoin,0.05413534
2020-12-29,3,Close,0.04989818
2020-12-29,3,Volume,0.054521848
2020-12-29,3,bitcoin,0.05096988
2021-02-28,0,Close,0.054496907
2021-02-28,0,Volume,0.049137034
2021-02-28,0,bitcoin,0.022485912
2021-02-28,1,Close,0.054047834
2021-02-28,1,Volume,0.05132467
2021-02-28,1,bitcoin,0.049464714
2021-02-28,2,Close,0.05230978
2021-02-28,2,Volume,0.050756436
2021-02-28,2,bitcoin,0.05413534
2021-02-28,3,Close,0.04989818
2021-02-28,3,Volume,0.054521848
2021-02-28,3,bitcoin,0.05096988
2021-04-29,0,Close,0.054496907
2021-04-29,0,Volume,0.049137034
2021-04-29,0,bitcoin,0.020159483
2021-04-29,1,Close,0.054047834
2021-04-29,1,Volume,0.05132467
